Category,Technology,Travel,Sports,Finance,Entertainment,World,Fashion,Health
cnn,15,18,0,17,6,15,12,14
data,14,11,3,17,0,9,0,5
time,14,10,10,17,5,11,10,10
real,14,6,2,17,2,2,0,1
two,14,6,13,17,4,8,4,5
minutes,14,5,4,17,0,4,2,2
property,14,4,1,17,1,0,0,0
inc,14,3,16,17,0,1,0,2
market,14,3,4,17,1,2,2,0
use,14,3,16,17,0,3,2,6
systems,14,3,0,17,0,1,1,3
rights,14,3,16,17,0,5,0,2
reserved,14,3,0,17,0,1,0,2
times,14,3,5,17,1,1,4,4
et,15,2,0,17,1,4,0,2
distributed,14,2,0,17,0,0,0,0
chicago,14,2,6,17,0,0,0,0
exchange,14,2,1,17,0,2,1,0
financial,15,1,2,17,0,0,1,1
research,15,1,0,17,0,1,3,6
except,14,1,0,17,1,0,0,1
standard,14,1,0,17,1,0,1,0
jones,14,1,3,17,0,0,0,0
delayed,14,1,0,17,0,2,0,0
content,14,1,1,17,1,0,0,0
association,15,1,2,17,0,2,0,5
services,15,1,2,17,0,2,0,2
subsidiary,14,1,1,17,0,0,0,0
provided,14,1,4,17,0,0,1,0
trademark,14,1,0,17,0,0,0,0
affiliates,14,0,0,17,0,1,0,0
holdings,14,0,0,17,0,0,0,0
poors,14,0,0,17,0,0,0,0
sp,14,0,1,17,0,0,0,0
dji,14,0,0,17,0,0,0,0
certain,14,0,1,17,0,0,0,2
licensed,14,0,0,17,0,0,0,0
indices,14,0,0,17,0,0,0,0
calculated,14,0,0,17,0,1,0,1
shown,14,0,2,17,0,1,1,3
licensors,14,0,0,17,0,0,0,0
quote,14,0,1,17,0,0,0,0
marketed,14,0,0,17,0,0,0,0
dow,14,0,0,17,0,0,0,0
mercantile,14,0,0,17,0,0,0,0
trademarks,14,0,0,17,0,0,0,0
registered,14,0,1,17,0,0,0,0
andor,14,0,2,17,1,0,0,0
stock,14,0,1,17,0,1,0,0
factset,14,0,0,17,0,0,0,0
opco,14,0,0,17,0,0,0,0
morningstar,14,0,0,17,0,0,0,0
djia,14,0,0,17,0,0,0,0
bats,14,0,1,17,0,0,0,0
llc,14,0,0,17,0,0,0,0
branded,14,0,1,17,0,0,0,0
disclaimer,14,0,0,17,0,0,0,0
proprietary,14,0,0,17,0,0,0,0
year,6,7,9,15,6,6,7,9
also,11,9,12,14,8,12,11,12
us,5,12,7,13,3,9,4,5
related,11,0,0,13,0,0,0,0
one,4,12,13,12,10,13,11,11
oil,0,1,0,12,0,0,0,2
said,10,8,9,11,5,12,3,12
prices,1,0,0,11,0,0,1,0
last,3,6,12,10,2,8,8,5
companies,4,4,1,10,0,1,2,3
another,1,3,7,10,3,6,2,5
energy,0,2,1,10,0,0,1,0
investment,0,1,2,10,0,0,2,0
russia,0,0,0,10,0,2,0,0
first,2,9,11,9,3,3,8,11
big,2,7,9,9,0,1,3,4
could,3,5,8,9,2,4,6,10
crisis,0,0,0,9,0,0,2,0
like,7,10,16,8,5,5,9,12
next,3,6,7,8,5,2,2,7
already,6,5,6,8,1,3,2,2
western,0,4,1,8,0,1,2,1
hit,3,3,7,8,0,1,0,2
global,1,2,0,8,0,3,2,2
banks,2,2,0,8,0,0,0,0
billion,2,2,0,8,0,0,0,1
fall,1,2,2,8,0,0,1,1
would,7,2,11,8,0,5,8,8
due,0,1,5,8,1,2,1,0
economic,0,0,0,8,0,1,1,0
sanctions,0,0,0,8,0,0,0,0
ukraine,0,0,0,8,0,0,2,0
back,3,9,10,7,4,7,4,4
made,1,8,9,7,4,4,5,5
put,1,7,4,7,0,3,6,8
company,7,6,1,7,1,2,0,3
well,4,5,9,7,2,5,4,8
international,1,4,1,7,0,6,5,4
europe,0,2,0,7,0,0,1,1
putin,0,0,0,7,0,0,0,0
russian,0,0,0,7,0,1,2,0
stocks,0,0,0,7,0,0,0,0
get,6,13,16,6,5,6,6,13
make,7,9,10,6,2,6,6,9
food,1,6,0,6,0,4,1,4
since,2,6,10,6,2,8,3,7
going,2,5,12,6,0,5,5,8
business,2,5,2,6,0,6,3,1
million,5,4,8,6,3,3,4,6
according,4,3,7,6,1,11,2,7
far,1,3,7,6,0,0,3,4
spending,0,2,1,6,0,0,1,1
started,0,2,3,6,0,6,5,6
point,4,2,9,6,2,7,1,5
european,0,1,0,6,0,1,0,2
economy,0,1,1,6,0,2,0,1
investors,2,1,0,6,0,0,0,0
month,1,1,2,6,0,0,3,2
trading,0,1,2,6,0,0,1,0
cut,2,1,2,6,2,2,1,3
biggest,2,1,6,6,2,0,1,2
markets,1,1,0,6,0,0,0,1
gas,0,0,0,6,0,1,0,0
even,1,11,12,5,4,10,6,12
new,7,11,11,5,9,10,9,8
around,6,8,16,5,1,9,4,8
much,4,7,11,5,2,6,7,8
years,3,6,7,5,7,6,9,10
want,2,5,16,5,5,5,4,6
west,0,5,5,5,1,3,2,1
states,4,4,0,5,0,4,2,7
go,4,4,7,5,3,7,3,6
support,2,3,2,5,0,3,2,3
say,3,3,7,5,2,5,2,4
set,6,3,5,5,1,0,3,1
takes,1,3,3,5,0,3,1,1
service,4,2,0,5,0,5,1,0
total,1,2,5,5,0,0,0,1
money,2,2,5,5,0,0,3,1
hurt,0,1,2,5,0,0,0,1
levels,1,1,0,5,0,0,2,3
moscow,0,1,0,5,0,1,0,0
shale,0,0,0,5,0,0,0,0
currency,0,0,0,5,0,2,0,0
opec,0,0,0,5,0,0,0,0
ruble,0,0,0,5,0,0,0,0
consumer,2,0,0,5,0,0,1,0
countries,4,0,0,5,0,4,2,2
decline,0,0,0,5,0,0,0,2
demand,0,0,2,5,0,1,0,0
investor,0,0,0,5,0,0,0,0
growth,3,0,0,5,0,0,0,1
world,5,13,6,4,3,5,8,4
really,0,8,9,4,3,3,3,6
travel,0,7,0,4,0,1,1,2
top,3,7,13,4,1,5,2,2
many,4,6,8,4,0,10,5,10
worth,1,6,4,4,0,0,1,0
lot,2,6,9,4,2,6,5,7
early,2,5,5,4,2,7,1,5
may,0,5,5,4,1,5,5,8
head,0,5,4,4,0,3,3,1
capital,1,5,1,4,0,2,0,2
five,0,4,8,4,0,9,3,1
still,2,4,11,4,5,6,6,5
yet,1,4,9,4,2,3,3,5
news,3,4,16,4,7,4,0,5
largest,0,4,1,4,0,0,0,1
months,2,3,4,4,0,3,2,3
means,0,3,2,4,2,2,3,4
look,3,3,7,4,2,4,6,5
bad,2,3,9,4,2,0,1,2
thing,0,3,7,4,0,2,2,3
got,0,3,7,4,2,4,1,7
plenty,0,3,7,4,0,3,0,0
