region,sphere,field,area,region,transportation,place,country
streaming,rain cats and dogs,swarm,teem,streaming,stream,recording,playing
firms,parties,houses,steadiness,firms,devices,persons,organizations
trend,grade,of course,class,trend,goal,interface,platform
implementations,execution,effectuation,carrying out,implementations,results,analysis,programs
innovations,designs,inventions,conceptions,innovations,robots,sensors,users
center,heart,midway,halfway,center,interface,planet,place
customers,nodes,clients,guests,customers,robots,clients,users
language,poem,lyric,word,language,share,speaking,browse
green,area,parking lot,park,green,potential,possible,regarding
goal,stop,finish,cease,goal,training,record,result
eighth,one-eighth,octonary,octet,eighth,game,league,football
outcome,consequence,impression,result,outcome,consequence,support,victory
champion,leading,wizard,sensation,champion,rival,goalkeeper,victory
youth,early days,young person,youthfulness,youth,goalkeeper,rival,place
international,outside,external,extraneous,international,british,domestic,behaviour
online,behaviour,contrast,describe,online,newspaper,web,experience
freedom,exemption,granting,immunity,freedom,sense,role,audition
force,energy,button,fight,force,power,strenth,collection
questions,interviews,behaviours,doubts,questions,people,preferences,doubts
ending,stop,finish,cease,ending,taking,result,finish
lark,frolic,run around,cavort,lark,art,film,actress
marriage,married couple,man and wife,pair,marriage,sense,audition,role
misconceptions,misconception,realize,empathize,misconceptions,people,preferences,understanding
airport,aerodrome,drome,air,airport,office,passenger,park
